,Unnamed: 0.1,Unnamed: 0,Escala,Referêcia,codibge,Anomalia,Município,SIGLA,AREA,Nome,Porcentagem
0,0,0,Mensal,jan./2022,4100103,-78.25005,Abatiá,PR,228.717,Abatia,-78.0%
1,1,1,Mensal,mar./2022,4100103,-30.404442,Abatiá,PR,228.717,Abatia,-30.0%
2,2,2,Mensal,fev./2022,4100103,-61.877018,Abatiá,PR,228.717,Abatia,-62.0%
3,3,3,Mensal,jan./2022,4100202,-62.9884,Adrianópolis,PR,1349.311,Adrianopolis,-63.0%
4,4,4,Mensal,mar./2022,4100202,-41.80063,Adrianópolis,PR,1349.311,Adrianopolis,-42.0%
5,5,5,Mensal,fev./2022,4100202,-41.16891,Adrianópolis,PR,1349.311,Adrianopolis,-41.0%
6,6,6,Mensal,jan./2022,4100301,-90.92436,Agudos do Sul,PR,192.261,Agudos Do Sul,-91.0%
7,7,7,Mensal,mar./2022,4100301,11.450783,Agudos do Sul,PR,192.261,Agudos Do Sul,11.0%
8,8,8,Mensal,fev./2022,4100301,-62.00335,Agudos do Sul,PR,192.261,Agudos Do Sul,-62.0%
9,9,9,Mensal,jan./2022,4100400,-85.4054,Almirante Tamandaré,PR,194.888,Almirante Tamandare,-85.0%
10,10,10,Mensal,mar./2022,4100400,-40.819027,Almirante Tamandaré,PR,194.888,Almirante Tamandare,-41.0%
11,11,11,Mensal,fev./2022,4100400,-51.95785,Almirante Tamandaré,PR,194.888,Almirante Tamandare,-52.0%
12,12,12,Mensal,jan./2022,4100459,-56.09215,Altamira do Paraná,PR,386.945,Altamira Do Parana,-56.0%
13,13,13,Mensal,mar./2022,4100459,-8.977286,Altamira do Paraná,PR,386.945,Altamira Do Parana,-9.0%
14,14,14,Mensal,fev./2022,4100459,-39.068256,Altamira do Paraná,PR,386.945,Altamira Do Parana,-39.0%
15,15,15,Mensal,jan./2022,4100509,-74.461586,Altônia,PR,661.56,Altonia,-74.0%
16,16,16,Mensal,mar./2022,4100509,0.048796933,Altônia,PR,661.56,Altonia,0.0%
17,17,17,Mensal,fev./2022,4100509,-58.060387,Altônia,PR,661.56,Altonia,-58.0%
18,18,18,Mensal,jan./2022,4100608,-75.565254,Alto Paraná,PR,407.719,Alto Parana,-76.0%
19,19,19,Mensal,mar./2022,4100608,-14.428165,Alto Paraná,PR,407.719,Alto Parana,-14.0%
20,20,20,Mensal,fev./2022,4100608,-63.86614,Alto Paraná,PR,407.719,Alto Parana,-64.0%
21,21,21,Mensal,jan./2022,4100707,-70.94882,Alto Piquiri,PR,447.666,Alto Piquiri,-71.0%
22,22,22,Mensal,mar./2022,4100707,-9.716468,Alto Piquiri,PR,447.666,Alto Piquiri,-10.0%
23,23,23,Mensal,fev./2022,4100707,-38.942482,Alto Piquiri,PR,447.666,Alto Piquiri,-39.0%
24,24,24,Mensal,jan./2022,4100806,-77.10649,Alvorada do Sul,PR,424.25,Alvorada Do Sul,-77.0%
25,25,25,Mensal,mar./2022,4100806,-16.45108,Alvorada do Sul,PR,424.25,Alvorada Do Sul,-16.0%
26,26,26,Mensal,fev./2022,4100806,-52.26863,Alvorada do Sul,PR,424.25,Alvorada Do Sul,-52.0%
27,27,27,Mensal,jan./2022,4100905,-69.394775,Amaporã,PR,384.735,Amapora,-69.0%
28,28,28,Mensal,mar./2022,4100905,-51.31488,Amaporã,PR,384.735,Amapora,-51.0%
29,29,29,Mensal,fev./2022,4100905,-47.01382,Amaporã,PR,384.735,Amapora,-47.0%
30,30,30,Mensal,jan./2022,4101002,-56.313606,Ampére,PR,298.349,Ampere,-56.0%
31,31,31,Mensal,mar./2022,4101002,40.60362,Ampére,PR,298.349,Ampere,41.0%
32,32,32,Mensal,fev./2022,4101002,15.448827,Ampére,PR,298.349,Ampere,15.0%
33,33,33,Mensal,jan./2022,4101051,-63.09476,Anahy,PR,102.895,Anahy,-63.0%
34,34,34,Mensal,mar./2022,4101051,-19.430077,Anahy,PR,102.895,Anahy,-19.0%
35,35,35,Mensal,fev./2022,4101051,-46.166866,Anahy,PR,102.895,Anahy,-46.0%
36,36,36,Mensal,jan./2022,4101101,-81.51361,Andirá,PR,235.944,Andira,-82.0%
37,37,37,Mensal,mar./2022,4101101,-31.054094,Andirá,PR,235.944,Andira,-31.0%
38,38,38,Mensal,fev./2022,4101101,-57.28855,Andirá,PR,235.944,Andira,-57.0%
39,39,39,Mensal,jan./2022,4101150,-79.57668,Ângulo,PR,106.021,Angulo,-80.0%
40,40,40,Mensal,mar./2022,4101150,32.014893,Ângulo,PR,106.021,Angulo,32.0%
41,41,41,Mensal,fev./2022,4101150,-48.8858,Ângulo,PR,106.021,Angulo,-49.0%
